problem_size,block_size,grid_size,cpu_time,gpu_time,errors
65536,32,1,0.711000,9.961000,0
65536,32,1,0.423000,6.914000,0
65536,32,1,0.429000,6.916000,0
65536,32,1,0.424000,6.896000,0
65536,32,1,0.428000,6.907000,0
65536,32,1,0.423000,6.915000,0
65536,32,1,0.431000,9.972000,0
65536,32,1,0.430000,6.913000,0
65536,32,1,0.424000,6.917000,0
65536,32,1,0.432000,6.976000,0
65536,64,1,0.433000,3.484000,0
65536,64,1,0.714000,4.936000,0
65536,64,1,0.704000,5.116000,0
65536,64,1,0.423000,3.484000,0
65536,64,1,0.425000,3.485000,0
65536,64,1,0.422000,3.481000,0
65536,64,1,0.430000,3.484000,0
65536,64,1,0.703000,5.071000,0
65536,64,1,0.425000,3.486000,0
65536,64,1,0.430000,3.483000,0
65536,96,1,0.427000,2.351000,0
65536,96,1,0.425000,2.356000,0
65536,96,1,0.429000,2.351000,0
65536,96,1,0.713000,3.302000,0
65536,96,1,0.519000,2.606000,0
65536,96,1,0.430000,2.351000,0
65536,96,1,0.423000,2.351000,0
65536,96,1,0.424000,2.352000,0
65536,96,1,0.430000,2.352000,0
65536,96,1,0.424000,2.354000,0
65536,128,1,0.435000,1.784000,0
65536,128,1,0.548000,2.016000,0
65536,128,1,0.424000,1.783000,0
65536,128,1,0.431000,1.783000,0
65536,128,1,0.425000,1.784000,0
65536,128,1,0.432000,1.785000,0
65536,128,1,0.424000,1.783000,0
65536,128,1,0.430000,1.783000,0
65536,128,1,0.424000,1.783000,0
65536,128,1,0.423000,1.783000,0
65536,160,1,0.715000,2.043000,0
65536,160,1,0.425000,1.450000,0
65536,160,1,0.424000,1.449000,0
65536,160,1,0.425000,1.449000,0
65536,160,1,0.429000,1.449000,0
65536,160,1,0.425000,1.450000,0
65536,160,1,0.703000,2.081000,0
65536,160,1,0.424000,1.451000,0
65536,160,1,0.425000,1.451000,0
65536,160,1,0.430000,1.450000,0
65536,192,1,0.432000,1.229000,0
65536,192,1,0.702000,1.856000,0
65536,192,1,0.424000,1.229000,0
65536,192,1,0.430000,1.229000,0
65536,192,1,0.430000,1.229000,0
65536,192,1,0.424000,1.228000,0
65536,192,1,0.429000,1.228000,0
65536,192,1,0.423000,1.229000,0
65536,192,1,0.711000,1.731000,0
65536,192,1,0.425000,1.230000,0
65536,224,1,0.424000,1.068000,0
65536,224,1,0.429000,1.067000,0
65536,224,1,0.424000,1.068000,0
65536,224,1,0.711000,1.472000,0
65536,224,1,0.703000,1.459000,0
65536,224,1,0.424000,1.068000,0
65536,224,1,0.430000,1.067000,0
65536,224,1,0.424000,1.068000,0
65536,224,1,0.423000,1.068000,0
65536,224,1,0.431000,1.068000,0
65536,256,1,0.424000,0.947000,0
65536,256,1,0.424000,0.947000,0
65536,256,1,0.423000,0.948000,0
65536,256,1,0.430000,0.949000,0
65536,256,1,0.423000,0.946000,0
65536,256,1,0.704000,1.266000,0
65536,256,1,0.423000,0.947000,0
65536,256,1,0.424000,0.948000,0
65536,256,1,0.429000,0.948000,0
65536,256,1,0.425000,0.947000,0
65536,288,1,0.423000,0.857000,0
65536,288,1,0.703000,1.176000,0
65536,288,1,0.430000,0.857000,0
65536,288,1,0.423000,0.857000,0
65536,288,1,0.425000,0.857000,0
65536,288,1,0.422000,0.856000,0
65536,288,1,0.424000,0.857000,0
65536,288,1,0.429000,0.857000,0
65536,288,1,0.426000,0.856000,0
65536,288,1,0.423000,0.857000,0
65536,320,1,0.431000,0.781000,0
65536,320,1,0.422000,0.781000,0
65536,320,1,0.712000,1.048000,0
65536,320,1,0.429000,0.781000,0
65536,320,1,0.676000,0.781000,0
65536,320,1,0.492000,0.780000,0
65536,320,1,0.430000,0.782000,0
65536,320,1,0.423000,0.781000,0
65536,320,1,0.707000,1.025000,0
65536,320,1,0.424000,0.780000,0
65536,352,1,0.432000,0.724000,0
65536,352,1,0.434000,0.724000,0
65536,352,1,0.424000,0.723000,0
65536,352,1,0.429000,0.723000,0
65536,352,1,0.710000,0.979000,0
65536,352,1,0.423000,0.724000,0
65536,352,1,0.423000,0.725000,0
65536,352,1,0.424000,0.723000,0
65536,352,1,0.426000,0.724000,0
65536,352,1,0.423000,0.723000,0
65536,384,1,0.428000,0.673000,0
65536,384,1,0.430000,0.674000,0
65536,384,1,0.431000,0.672000,0
65536,384,1,0.432000,0.673000,0
65536,384,1,0.429000,0.673000,0
65536,384,1,0.430000,0.673000,0
65536,384,1,0.709000,0.874000,0
65536,384,1,0.423000,0.672000,0
65536,384,1,0.711000,0.857000,0
65536,384,1,0.712000,0.861000,0
65536,416,1,0.436000,0.631000,0
65536,416,1,0.431000,0.632000,0
65536,416,1,0.712000,0.823000,0
65536,416,1,0.430000,0.631000,0
65536,416,1,0.424000,0.631000,0
65536,416,1,0.434000,0.630000,0
65536,416,1,0.430000,0.630000,0
65536,416,1,0.424000,0.630000,0
65536,416,1,0.711000,0.820000,0
65536,416,1,0.423000,0.630000,0
65536,448,1,0.426000,0.598000,0
65536,448,1,0.430000,0.598000,0
65536,448,1,0.423000,0.598000,0
65536,448,1,0.424000,0.598000,0
65536,448,1,0.430000,0.598000,0
65536,448,1,0.425000,0.598000,0
65536,448,1,0.423000,0.599000,0
65536,448,1,0.430000,0.598000,0
65536,448,1,0.424000,0.599000,0
65536,448,1,0.714000,0.739000,0
65536,480,1,0.429000,0.560000,0
65536,480,1,0.423000,0.566000,0
65536,480,1,0.429000,0.566000,0
65536,480,1,0.429000,0.566000,0
65536,480,1,0.424000,0.565000,0
65536,480,1,0.424000,0.566000,0
65536,480,1,0.429000,0.566000,0
65536,480,1,0.430000,0.566000,0
65536,480,1,0.425000,0.565000,0
65536,480,1,0.429000,0.566000,0
65536,512,1,0.425000,0.537000,0
65536,512,1,0.711000,0.669000,0
65536,512,1,0.430000,0.536000,0
65536,512,1,0.430000,0.537000,0
65536,512,1,0.423000,0.536000,0
65536,512,1,0.431000,0.537000,0
65536,512,1,0.431000,0.537000,0
65536,512,1,0.709000,0.659000,0
65536,512,1,0.428000,0.536000,0
65536,512,1,0.491000,0.536000,0
65536,544,1,0.488000,0.516000,0
65536,544,1,0.424000,0.515000,0
65536,544,1,0.711000,0.626000,0
65536,544,1,0.430000,0.515000,0
65536,544,1,0.425000,0.515000,0
65536,544,1,0.429000,0.516000,0
65536,544,1,0.431000,0.521000,0
65536,544,1,0.430000,0.515000,0
65536,544,1,0.713000,0.616000,0
65536,544,1,0.432000,0.517000,0
65536,576,1,0.426000,0.487000,0
65536,576,1,0.430000,0.495000,0
65536,576,1,0.424000,0.491000,0
65536,576,1,0.429000,0.495000,0
65536,576,1,0.426000,0.495000,0
65536,576,1,0.424000,0.494000,0
65536,576,1,0.519000,0.494000,0
65536,576,1,0.423000,0.495000,0
65536,576,1,0.424000,0.496000,0
65536,576,1,0.429000,0.496000,0
65536,608,1,0.716000,0.563000,0
65536,608,1,0.429000,0.477000,0
65536,608,1,0.424000,0.477000,0
65536,608,1,0.430000,0.478000,0
65536,608,1,0.424000,0.477000,0
65536,608,1,0.429000,0.476000,0
65536,608,1,0.429000,0.477000,0
65536,608,1,0.424000,0.477000,0
65536,608,1,0.430000,0.478000,0
65536,608,1,0.430000,0.477000,0
65536,640,1,0.430000,0.464000,0
65536,640,1,0.709000,0.557000,0
65536,640,1,0.428000,0.462000,0
65536,640,1,0.425000,0.463000,0
65536,640,1,0.430000,0.463000,0
65536,640,1,0.422000,0.463000,0
65536,640,1,0.424000,0.462000,0
65536,640,1,0.712000,0.568000,0
65536,640,1,0.424000,0.462000,0
65536,640,1,0.423000,0.463000,0
65536,672,1,0.431000,0.446000,0
65536,672,1,0.423000,0.446000,0
65536,672,1,0.429000,0.446000,0
65536,672,1,0.713000,0.513000,0
65536,672,1,0.732000,0.522000,0
65536,672,1,0.712000,0.509000,0
65536,672,1,0.702000,0.523000,0
65536,672,1,0.430000,0.446000,0
65536,672,1,0.423000,0.446000,0
65536,672,1,0.423000,0.445000,0
65536,704,1,0.434000,0.434000,0
65536,704,1,0.423000,0.434000,0
65536,704,1,0.425000,0.434000,0
65536,704,1,0.423000,0.434000,0
65536,704,1,0.428000,0.434000,0
65536,704,1,0.711000,0.505000,0
65536,704,1,0.425000,0.434000,0
65536,704,1,0.424000,0.434000,0
65536,704,1,0.423000,0.433000,0
65536,704,1,0.431000,0.434000,0
65536,736,1,0.432000,0.422000,0
65536,736,1,0.702000,0.486000,0
65536,736,1,0.430000,0.422000,0
65536,736,1,0.430000,0.423000,0
65536,736,1,0.424000,0.422000,0
65536,736,1,0.424000,0.423000,0
65536,736,1,0.423000,0.424000,0
65536,736,1,0.424000,0.421000,0
65536,736,1,0.429000,0.422000,0
65536,736,1,0.425000,0.422000,0
65536,768,1,0.424000,0.410000,0
65536,768,1,0.424000,0.410000,0
65536,768,1,0.700000,0.471000,0
65536,768,1,0.424000,0.410000,0
65536,768,1,0.424000,0.411000,0
65536,768,1,0.425000,0.410000,0
65536,768,1,0.424000,0.411000,0
65536,768,1,0.429000,0.411000,0
65536,768,1,0.713000,0.458000,0
65536,768,1,0.426000,0.410000,0
65536,800,1,0.428000,0.398000,0
65536,800,1,0.424000,0.397000,0
65536,800,1,0.430000,0.397000,0
65536,800,1,0.485000,0.396000,0
65536,800,1,0.703000,0.438000,0
65536,800,1,0.424000,0.398000,0
65536,800,1,0.423000,0.397000,0
65536,800,1,0.425000,0.397000,0
65536,800,1,0.425000,0.397000,0
65536,800,1,0.429000,0.397000,0
65536,832,1,0.717000,0.422000,0
65536,832,1,0.425000,0.389000,0
65536,832,1,0.430000,0.390000,0
65536,832,1,0.425000,0.389000,0
65536,832,1,0.431000,0.389000,0
65536,832,1,0.425000,0.388000,0
65536,832,1,0.430000,0.389000,0
65536,832,1,0.423000,0.389000,0
65536,832,1,0.429000,0.389000,0
65536,832,1,0.429000,0.389000,0
65536,864,1,0.430000,0.379000,0
65536,864,1,0.710000,0.406000,0
65536,864,1,0.430000,0.381000,0
65536,864,1,0.423000,0.379000,0
65536,864,1,0.429000,0.379000,0
65536,864,1,0.424000,0.379000,0
65536,864,1,0.430000,0.379000,0
65536,864,1,0.712000,0.404000,0
65536,864,1,0.423000,0.380000,0
65536,864,1,0.430000,0.379000,0
65536,896,1,0.429000,0.375000,0
65536,896,1,0.423000,0.374000,0
65536,896,1,0.426000,0.374000,0
65536,896,1,0.710000,0.404000,0
65536,896,1,0.430000,0.375000,0
65536,896,1,0.423000,0.374000,0
65536,896,1,0.424000,0.374000,0
65536,896,1,0.425000,0.463000,0
65536,896,1,0.424000,0.375000,0
65536,896,1,0.705000,0.402000,0
65536,928,1,0.428000,0.365000,0
65536,928,1,0.421000,0.365000,0
65536,928,1,0.424000,0.365000,0
65536,928,1,0.430000,0.365000,0
65536,928,1,0.430000,0.366000,0
65536,928,1,0.705000,0.419000,0
65536,928,1,0.431000,0.366000,0
65536,928,1,0.424000,0.367000,0
65536,928,1,0.424000,0.365000,0
65536,928,1,0.427000,0.359000,0
65536,960,1,0.427000,0.360000,0
65536,960,1,0.430000,0.360000,0
65536,960,1,0.427000,0.361000,0
65536,960,1,0.430000,0.359000,0
65536,960,1,0.423000,0.361000,0
65536,960,1,0.629000,0.361000,0
65536,960,1,0.711000,0.381000,0
65536,960,1,0.424000,0.360000,0
65536,960,1,0.428000,0.361000,0
65536,960,1,0.423000,0.361000,0
65536,992,1,0.422000,0.354000,0
65536,992,1,0.428000,0.354000,0
65536,992,1,0.710000,0.376000,0
65536,992,1,0.423000,0.355000,0
65536,992,1,0.424000,0.354000,0
65536,992,1,0.431000,0.354000,0
65536,992,1,0.425000,0.355000,0
65536,992,1,0.424000,0.354000,0
65536,992,1,0.429000,0.354000,0
65536,992,1,0.422000,0.354000,0
65536,1024,1,0.424000,0.345000,0
65536,1024,1,0.431000,0.346000,0
65536,1024,1,0.425000,0.346000,0
65536,1024,1,0.710000,0.358000,0
65536,1024,1,0.429000,0.347000,0
65536,1024,1,0.424000,0.345000,0
65536,1024,1,0.429000,0.349000,0
65536,1024,1,0.424000,0.347000,0
65536,1024,1,0.430000,0.346000,0
65536,1024,1,0.702000,0.360000,0
131072,32,1,0.850000,14.399000,0
131072,32,1,0.847000,14.398000,0
131072,32,1,0.846000,14.396000,0
131072,32,1,0.849000,14.400000,0
131072,32,1,1.414000,20.319000,0
131072,32,1,0.850000,14.396000,0
131072,32,1,0.850000,14.471000,0
131072,32,1,0.851000,14.396000,0
131072,32,1,0.848000,14.397000,0
131072,32,1,1.413000,20.170000,0
131072,64,1,0.849000,7.277000,0
131072,64,1,0.849000,7.276000,0
131072,64,1,0.848000,7.278000,0
131072,64,1,0.849000,7.278000,0
131072,64,1,0.847000,7.278000,0
131072,64,1,0.849000,7.278000,0
131072,64,1,0.842000,7.275000,0
131072,64,1,0.848000,7.279000,0
131072,64,1,0.844000,7.278000,0
131072,64,1,0.849000,7.277000,0
131072,96,1,1.087000,5.417000,0
131072,96,1,0.844000,4.910000,0
131072,96,1,0.850000,4.908000,0
131072,96,1,0.850000,4.909000,0
131072,96,1,0.851000,4.910000,0
131072,96,1,0.854000,4.909000,0
131072,96,1,1.409000,6.737000,0
131072,96,1,0.844000,4.908000,0
131072,96,1,0.850000,4.907000,0
131072,96,1,0.849000,4.911000,0
131072,128,1,0.970000,3.975000,0
131072,128,1,1.412000,5.116000,0
131072,128,1,1.418000,5.076000,0
131072,128,1,0.846000,3.723000,0
131072,128,1,0.849000,3.725000,0
131072,128,1,0.849000,3.724000,0
131072,128,1,0.849000,3.725000,0
131072,128,1,1.410000,5.220000,0
131072,128,1,0.842000,3.724000,0
131072,128,1,0.851000,3.724000,0
131072,160,1,0.850000,3.025000,0
131072,160,1,0.850000,3.026000,0
131072,160,1,0.848000,3.025000,0
131072,160,1,1.412000,4.206000,0
131072,160,1,1.410000,4.095000,0
131072,160,1,0.848000,3.024000,0
131072,160,1,0.850000,3.024000,0
131072,160,1,0.849000,3.024000,0
131072,160,1,0.850000,3.026000,0
131072,160,1,1.408000,4.217000,0
131072,192,1,0.849000,2.555000,0
131072,192,1,0.848000,2.556000,0
131072,192,1,0.851000,2.555000,0
131072,192,1,0.851000,2.555000,0
131072,192,1,0.852000,2.632000,0
131072,192,1,1.407000,3.448000,0
131072,192,1,0.849000,2.555000,0
131072,192,1,0.849000,2.555000,0
131072,192,1,0.847000,2.554000,0
131072,192,1,0.849000,2.557000,0
131072,224,1,0.846000,2.219000,0
131072,224,1,0.849000,2.220000,0
131072,224,1,0.851000,2.221000,0
131072,224,1,0.848000,2.220000,0
131072,224,1,0.849000,2.221000,0
131072,224,1,0.850000,2.220000,0
131072,224,1,1.407000,2.939000,0
131072,224,1,0.848000,2.219000,0
131072,224,1,0.846000,2.220000,0
131072,224,1,0.848000,2.220000,0
131072,256,1,0.851000,1.966000,0
131072,256,1,0.850000,1.967000,0
131072,256,1,0.848000,1.967000,0
131072,256,1,0.849000,1.967000,0
131072,256,1,0.849000,1.966000,0
131072,256,1,0.851000,1.966000,0
131072,256,1,0.850000,1.967000,0
131072,256,1,1.413000,2.556000,0
131072,256,1,0.849000,1.967000,0
131072,256,1,0.851000,1.966000,0
131072,288,1,0.851000,1.776000,0
131072,288,1,0.847000,1.775000,0
131072,288,1,0.844000,1.776000,0
131072,288,1,0.843000,1.775000,0
131072,288,1,0.853000,1.776000,0
131072,288,1,0.847000,1.777000,0
131072,288,1,0.847000,1.776000,0
131072,288,1,0.848000,1.776000,0
131072,288,1,0.849000,1.776000,0
131072,288,1,1.409000,2.369000,0
131072,320,1,0.852000,1.617000,0
131072,320,1,0.849000,1.618000,0
131072,320,1,0.852000,1.617000,0
131072,320,1,0.972000,1.617000,0
131072,320,1,1.411000,2.094000,0
131072,320,1,0.848000,1.617000,0
131072,320,1,0.853000,1.617000,0
131072,320,1,0.844000,1.617000,0
131072,320,1,0.847000,1.619000,0
131072,320,1,0.849000,1.618000,0
131072,352,1,1.618000,1.883000,0
131072,352,1,0.849000,1.498000,0
131072,352,1,1.025000,1.493000,0
131072,352,1,0.850000,1.495000,0
131072,352,1,0.847000,1.495000,0
131072,352,1,0.849000,1.496000,0
131072,352,1,1.415000,1.924000,0
131072,352,1,0.849000,1.494000,0
131072,352,1,0.844000,1.495000,0
131072,352,1,0.848000,1.495000,0
131072,384,1,0.849000,1.390000,0
131072,384,1,0.844000,1.390000,0
131072,384,1,1.412000,1.734000,0
131072,384,1,0.843000,1.390000,0
131072,384,1,0.851000,1.391000,0
131072,384,1,0.969000,1.391000,0
131072,384,1,0.844000,1.391000,0
131072,384,1,1.411000,1.717000,0
131072,384,1,0.850000,1.386000,0
131072,384,1,0.849000,1.390000,0
131072,416,1,0.849000,1.303000,0
131072,416,1,0.850000,1.304000,0
131072,416,1,0.847000,1.303000,0
131072,416,1,1.413000,1.584000,0
131072,416,1,0.849000,1.304000,0
131072,416,1,0.851000,1.303000,0
131072,416,1,0.851000,1.303000,0
131072,416,1,0.850000,1.304000,0
131072,416,1,1.411000,1.637000,0
131072,416,1,0.851000,1.304000,0
131072,448,1,0.841000,1.234000,0
131072,448,1,0.851000,1.233000,0
131072,448,1,0.851000,1.233000,0
131072,448,1,0.848000,1.234000,0
131072,448,1,0.850000,1.233000,0
131072,448,1,0.845000,1.235000,0
131072,448,1,0.848000,1.233000,0
131072,448,1,0.849000,1.233000,0
131072,448,1,0.849000,1.233000,0
131072,448,1,0.850000,1.234000,0
131072,480,1,1.408000,1.409000,0
131072,480,1,0.849000,1.170000,0
131072,480,1,0.841000,1.169000,0
131072,480,1,0.847000,1.169000,0
131072,480,1,0.842000,1.169000,0
131072,480,1,0.847000,1.168000,0
131072,480,1,0.847000,1.169000,0
131072,480,1,0.847000,1.169000,0
131072,480,1,0.852000,1.170000,0
131072,480,1,0.852000,1.170000,0
131072,512,1,0.848000,1.107000,0
131072,512,1,1.408000,1.305000,0
131072,512,1,1.411000,1.290000,0
131072,512,1,0.850000,1.108000,0
131072,512,1,0.842000,1.107000,0
131072,512,1,0.843000,1.109000,0
131072,512,1,0.851000,1.108000,0
